Id,Designation,Size,CategoryType,SubCategory,Material,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,φa min,φa max,Tan α,φa,d/t,Wt,c/t
,W40X149,,I,US,Steel,AISC v15.0,221.7,970.3,299.7,16,21.1,,,,,,,,3.06,13.8,408000,9530,38,5.81,8410,636,9800,1020,,,,390,283,,,,,,,,,,,,,,,,
,W36X925,,I,US,Steel,AISC v15.0,1376.6,1094.7,472.4,76.7,115.1,,,,,,,,3.89,2.83,3040000,206000,41.6,10.8,55500,8700,67700,14100,,,,59500,1750,,,,,,,,,,,,,,,,
,W36X853,,I,US,Steel,AISC v15.0,1269.4,1094.7,462.3,64,115.1,,,,,,,,3.88,3.05,2910000,191000,42.4,10.9,53200,8280,64200,13200,,,,51600,1620,,,,,,,,,,,,,,,,
,W36X802,,I,US,Steel,AISC v15.0,1193.5,1082,457.2,60.5,109,,,,,,,,3.84,3.22,2700000,175000,42.1,10.7,49900,7670,60000,12200,,,,43700,1520,,,,,,,,,,,,,,,,
,W36X723,,I,US,Steel,AISC v15.0,1075.9,1061.7,452.1,55.1,99.1,,,,,,,,3.79,3.52,2390000,154000,41.7,10.6,44900,6810,53600,10800,,,,32700,1370,,,,,,,,,,,,,,,,
,W36X652,,I,US,Steel,AISC v15.0,970.3,1043.9,447,50,89.9,,,,,,,,3.73,3.85,2110000,134000,41.2,10.4,40300,6010,47700,9520,,,,24700,1240,,,,,,,,,,,,,,,,
,W36X529,,I,US,Steel,AISC v15.0,787.2,1010.9,436.9,40.9,73.9,,,,,,,,3.65,4.63,1650000,104000,40.5,10.1,32600,4740,38200,7440,,,,13600,1010,,,,,,,,,,,,,,,,
,W36X487,,I,US,Steel,AISC v15.0,724.7,998.2,434.3,38.1,68.1,,,,,,,,3.62,4.99,1500000,93700,40.3,10.1,30000,4310,34900,6750,,,,10700,923,,,,,,,,,,,,,,,,
,W36X441,,I,US,Steel,AISC v15.0,656.3,988.1,431.8,34.5,62,,,,,,,,3.59,5.47,1340000,82800,39.9,9.94,27000,3840,31300,6030,,,,8070,839,,,,,,,,,,,,,,,,
,W36X395,,I,US,Steel,AISC v15.0,587.8,975.4,426.7,31,55.9,,,,,,,,3.55,6.05,1190000,72800,39.8,9.87,24300,3410,28000,5330,,,,5910,748,,,,,,,,,,,,,,,,
,W36X361,,I,US,Steel,AISC v15.0,537.2,965.2,424.2,28.4,51.1,,,,,,,,3.53,6.57,1070000,65300,39.6,9.78,22200,3080,25400,4800,,,,4540,684,,,,,,,,,,,,,,,,
,W36X330,,I,US,Steel,AISC v15.0,491.1,957.6,421.6,25.9,47,,,,,,,,3.51,7.14,970000,59100,39.4,9.72,20300,2800,23100,4340,,,,3510,625,,,,,,,,,,,,,,,,
,W36X302,,I,US,Steel,AISC v15.0,449.4,947.4,424.2,24,42.7,,,,,,,,3.5,7.79,878000,54100,39.1,9.71,18500,2550,21000,3950,,,,2680,574,,,,,,,,,,,,,,,,
,W36X282,,I,US,Steel,AISC v15.0,419.7,942.3,421.6,22.5,39.9,,,,,,,,3.48,8.3,816000,49900,39.1,9.66,17300,2370,19500,3650,,,,2190,535,,,,,,,,,,,,,,,,
,W36X262,,I,US,Steel,AISC v15.0,389.9,937.3,421.6,21.3,36.6,,,,,,,,3.48,8.92,745000,45400,38.7,9.54,15900,2150,18000,3340,,,,1730,498,,,,,,,,,,,,,,,,
,W36X256,,I,US,Steel,AISC v15.0,381,950,309.9,24.4,43.9,,,,,,,,3.06,8.03,699000,22000,37.9,6.73,14700,1420,17000,2250,,,,2200,486,,,,,,,,,,,,,,,,
,W36X247,,I,US,Steel,AISC v15.0,367.6,932.2,419.1,20.3,34.3,,,,,,,,3.46,9.41,695000,42000,38.5,9.48,14900,2010,16900,3110,,,,1440,468,,,,,,,,,,,,,,,,
,W36X232,,I,US,Steel,AISC v15.0,345.3,942.3,307.3,22.1,39.9,,,,,,,,3.04,8.8,624000,19500,37.7,6.66,13300,1270,15300,2000,,,,1650,439,,,,,,,,,,,,,,,,
,W36X231,,I,US,Steel,AISC v15.0,343.8,927.1,419.1,19.3,32,,,,,,,,3.45,10,649000,39100,38.4,9.43,14000,1870,15800,2880,,,,1190,440,,,,,,,,,,,,,,,,
,W36X210,,I,US,Steel,AISC v15.0,312.5,932.2,309.9,21.1,34.5,,,,,,,,3.03,9.69,549000,17100,37.1,6.54,11800,1100,13700,1750,,,,1170,399,,,,,,,,,,,,,,,,
,W36X194,,I,US,Steel,AISC v15.0,288.7,927.1,307.3,19.4,32,,,,,,,,3.01,10.4,504000,15600,37,6.51,10900,1020,12600,1600,,,,924,368,,,,,,,,,,,,,,,,
,W36X182,,I,US,Steel,AISC v15.0,270.8,922,307.3,18.4,30,,,,,,,,3,11.1,470000,14400,36.9,6.46,10200,940,11800,1490,,,,770,346,,,,,,,,,,,,,,,,
,W36X170,,I,US,Steel,AISC v15.0,253,919.5,304.8,17.3,27.9,,,,,,,,2.99,11.8,437000,13300,36.8,6.43,9510,874,10900,1370,,,,629,323,,,,,,,,,,,,,,,,
,W36X160,,I,US,Steel,AISC v15.0,238.1,914.4,304.8,16.5,25.9,,,,,,,,2.98,12.5,406000,12300,36.6,6.36,8890,806,10200,1270,,,,516,303,,,,,,,,,,,,,,,,
,W36X150,,I,US,Steel,AISC v15.0,223.2,911.9,304.8,15.9,23.9,,,,,,,,2.98,13.3,376000,11200,36.3,6.27,8250,737,9520,1160,,,,420,286,,,,,,,,,,,,,,,,
,W36X135,,I,US,Steel,AISC v15.0,200.9,904.2,304.8,15.2,20.1,,,,,,,,2.96,14.8,325000,9370,35.5,6.03,7180,615,8340,978,,,,291,257,,,,,,,,,,,,,,,,
,W33X387,,I,US,Steel,AISC v15.0,575.9,914.4,411.5,32,57.9,,,,,,,,3.38,5.86,1010000,67400,37.1,9.58,22100,3280,25600,5110,,,,6160,735,,,,,,,,,,,,,,,,
,W33X354,,I,US,Steel,AISC v15.0,526.8,904.2,408.9,29.5,53.1,,,,,,,,3.35,6.36,916000,60800,36.9,9.52,20300,2970,23300,4620,,,,4790,671,,,,,,,,,,,,,,,,
,W33X318,,I,US,Steel,AISC v15.0,473.2,894.1,406.4,26.4,48,,,,,,,,3.33,7.03,812000,53700,36.6,9.42,18200,2640,20800,4100,,,,3510,605,,,,,,,,,,,,,,,,
,W33X291,,I,US,Steel,AISC v15.0,433.1,883.9,403.9,24.4,43.9,,,,,,,,3.3,7.62,737000,48300,36.5,9.35,16700,2390,19000,3700,,,,2710,552,,,,,,,,,,,,,,,,
,W33X263,,I,US,Steel,AISC v15.0,391.4,876.3,401.3,22.1,39.9,,,,,,,,3.28,8.38,662000,43300,36.4,9.31,15100,2160,17000,3310,,,,2030,499,,,,,,,,,,,,,,,,
,W33X241,,I,US,Steel,AISC v15.0,358.6,868.7,403.9,21.1,35.6,,,,,,,,3.28,9.14,591000,38800,35.9,9.2,13600,1920,15400,2980,,,,1510,459,,,,,,,,,,,,,,,,
,W33X221,,I,US,Steel,AISC v15.0,328.9,861.1,401.3,19.7,32.5,,,,,,,,3.25,9.89,537000,35000,35.7,9.11,12500,1740,14000,2690,,,,1160,421,,,,,,,,,,,,,,,,
,W33X201,,I,US,Steel,AISC v15.0,299.1,856,398.8,18.2,29.2,,,,,,,,3.24,10.8,483000,31200,35.6,9.04,11300,1560,12700,2410,,,,866,381,,,,,,,,,,,,,,,,
,W33X169,,I,US,Steel,AISC v15.0,251.5,858.5,292.1,17,31,,,,,,,,2.82,11.2,387000,12900,34.8,6.36,9010,883,10300,1380,,,,737,319,,,,,,,,,,,,,,,,
,W33X152,,I,US,Steel,AISC v15.0,226.2,850.9,294.6,16.1,26.9,,,,,,,,2.82,12.5,340000,11400,34.2,6.26,7980,771,9160,1210,,,,516,290,,,,,,,,,,,,,,,,
,W33X141,,I,US,Steel,AISC v15.0,209.8,845.8,292.1,15.4,24.4,,,,,,,,2.8,13.3,310000,10200,34,6.18,7330,701,8420,1100,,,,404,268,,,,,,,,,,,,,,,,
,W33X130,,I,US,Steel,AISC v15.0,193.5,840.7,292.1,14.7,21.7,,,,,,,,2.79,14.4,279000,9070,33.6,6.06,6640,621,7650,975,,,,307,247,,,,,,,,,,,,,,,,
,W33X118,,I,US,Steel,AISC v15.0,175.6,835.7,292.1,14,18.8,,,,,,,,2.78,15.8,246000,7780,33.1,5.9,5880,533,6800,841,,,,221,224,,,,,,,,,,,,,,,,
,W30X391,,I,US,Steel,AISC v15.0,581.9,843.3,396.2,34.5,62,,,,,,,,3.17,5.44,862000,64500,34.1,9.33,20400,3260,23800,5080,,,,7200,742,,,,,,,,,,,,,,,,
,W30X357,,I,US,Steel,AISC v15.0,531.3,833.1,393.7,31.5,56.9,,,,,,,,3.14,5.92,778000,57900,33.9,9.24,18700,2940,21600,4570,,,,5580,677,,,,,,,,,,,,,,,,
,W30X326,,I,US,Steel,AISC v15.0,485.1,823,391.2,29,52.1,,,,,,,,3.12,6.43,699000,51600,33.6,9.13,17000,2640,19500,4130,,,,4290,619,,,,,,,,,,,,,,,,
,W30X292,,I,US,Steel,AISC v15.0,434.5,812.8,388.6,25.9,47,,,,,,,,3.09,7.12,620000,45800,33.4,9.08,15300,2360,17400,3650,,,,3130,555,,,,,,,,,,,,,,,,
,W30X261,,I,US,Steel,AISC v15.0,388.4,802.6,386.1,23.6,41.9,,,,,,,,3.07,7.9,545000,39900,33.1,8.96,13600,2070,15500,3210,,,,2250,497,,,,,,,,,,,,,,,,
,W30X235,,I,US,Steel,AISC v15.0,349.7,795,383.5,21.1,38.1,,,,,,,,3.05,8.71,487000,35600,33,8.92,12300,1860,13900,2870,,,,1680,447,,,,,,,,,,,,,,,,
,W30X211,,I,US,Steel,AISC v15.0,314,784.9,383.5,19.7,33.5,,,,,,,,3.03,9.65,429000,31500,32.7,8.85,10900,1640,12300,2540,,,,1180,402,,,,,,,,,,,,,,,,
,W30X191,,I,US,Steel,AISC v15.0,284.2,779.8,381,18,30.2,,,,,,,,3.01,10.6,383000,28000,32.5,8.8,9820,1470,11100,2260,,,,874,362,,,,,,,,,,,,,,,,
,W30X173,,I,US,Steel,AISC v15.0,257.5,772.2,381,16.6,27.2,,,,,,,,3,11.7,343000,24900,32.3,8.71,8870,1310,9950,2020,,,,649,328,,,,,,,,,,,,,,,,
,W30X148,,I,US,Steel,AISC v15.0,220.2,779.8,266.7,16.5,30,,,,,,,,2.56,11.6,278000,9450,31.4,5.8,7130,709,8190,1110,,,,604,281,,,,,,,,,,,,,,,,
,W30X132,,I,US,Steel,AISC v15.0,196.4,769.6,266.7,15.6,25.4,,,,,,,,2.55,13,240000,8160,31,5.71,6240,612,7160,957,,,,405,250,,,,,,,,,,,,,,,,
,W30X124,,I,US,Steel,AISC v15.0,184.5,767.1,266.7,14.9,23.6,,,,,,,,2.54,13.8,223000,7530,30.8,5.66,5820,565,6690,885,,,,333,235,,,,,,,,,,,,,,,,
,W30X116,,I,US,Steel,AISC v15.0,172.6,762,266.7,14.4,21.6,,,,,,,,2.53,14.7,205000,6830,30.5,5.56,5390,512,6190,806,,,,268,221,,,,,,,,,,,,,,,,
,W30X108,,I,US,Steel,AISC v15.0,160.7,756.9,266.7,13.8,19.3,,,,,,,,2.52,15.7,186000,6080,30.2,5.45,4920,456,5670,719,,,,208,205,,,,,,,,,,,,,,,,
,W30X99,,I,US,Steel,AISC v15.0,147.3,754.4,266.7,13.2,17,,,,,,,,2.52,17.1,166000,5330,29.8,5.34,4400,400,5110,633,,,,157,187,,,,,,,,,,,,,,,,
,W30X90,,I,US,Steel,AISC v15.0,133.9,749.3,264.2,11.9,15.5,,,,,,,,2.5,18.7,150000,4790,29.8,5.31,4010,362,4640,569,,,,118,170,,,,,,,,,,,,,,,,
,W27X539,,I,US,Steel,AISC v15.0,802.1,825.5,388.6,50,89.9,,,,,,,,3.07,3.83,1070000,87800,32.2,9.25,25800,4520,31000,7160,,,,20600,1030,,,,,,,,,,,,,,,,
,W27X368,,I,US,Steel,AISC v15.0,547.6,772.2,373.4,35.1,63,,,,,,,,2.93,5.36,674000,54500,31,8.81,17500,2920,20300,4570,,,,7080,703,,,,,,,,,,,,,,,,
,W27X336,,I,US,Steel,AISC v15.0,500,762,370.8,32,57.9,,,,,,,,2.91,5.82,608000,49100,30.8,8.76,16000,2650,18500,4130,,,,5450,640,,,,,,,,,,,,,,,,
,W27X307,,I,US,Steel,AISC v15.0,456.9,751.8,365.8,29.5,53.1,,,,,,,,2.87,6.29,545000,43700,30.6,8.67,14500,2390,16900,3720,,,,4200,582,,,,,,,,,,,,,,,,
,W27X281,,I,US,Steel,AISC v15.0,418.2,744.2,365.8,26.9,49,,,,,,,,2.86,6.85,495000,39700,30.4,8.6,13300,2170,15300,3380,,,,3310,536,,,,,,,,,,,,,,,,
,W27X258,,I,US,Steel,AISC v15.0,383.9,736.6,363.2,24.9,45,,,,,,,,2.84,7.4,450000,35800,30.3,8.53,12200,1970,14000,3060,,,,2560,491,,,,,,,,,,,,,,,,
,W27X235,,I,US,Steel,AISC v15.0,349.7,729,360.7,23.1,40.9,,,,,,,,2.82,8.06,404000,32000,30,8.46,11100,1770,12700,2750,,,,1960,448,,,,,,,,,,,,,,,,
,W27X217,,I,US,Steel,AISC v15.0,322.9,721.4,358.1,21.1,38.1,,,,,,,,2.8,8.67,371000,29300,30,8.43,10300,1640,11700,2520,,,,1570,412,,,,,,,,,,,,,,,,
,W27X194,,I,US,Steel,AISC v15.0,288.7,713.7,355.6,19,34,,,,,,,,2.78,9.62,327000,25800,29.8,8.36,9170,1450,10300,2230,,,,1130,368,,,,,,,,,,,,,,,,
,W27X178,,I,US,Steel,AISC v15.0,264.9,706.1,358.1,18.4,30.2,,,,,,,,2.77,10.5,292000,23100,29.4,8.26,8280,1290,9340,2000,,,,837,339,,,,,,,,,,,,,,,,
,W27X161,,I,US,Steel,AISC v15.0,239.6,701,355.6,16.8,27.4,,,,,,,,2.76,11.5,263000,20700,29.2,8.21,7490,1160,8440,1790,,,,629,307,,,,,,,,,,,,,,,,
,W27X146,,I,US,Steel,AISC v15.0,217.3,696,355.6,15.4,24.8,,,,,,,,2.75,12.7,236000,18400,29.1,8.13,6770,1040,7600,1600,,,,470,279,,,,,,,,,,,,,,,,
,W27X129,,I,US,Steel,AISC v15.0,192,701,254,15.5,27.9,,,,,,,,2.36,12.3,198000,7660,28.5,5.6,5650,603,6470,944,,,,462,244,,,,,,,,,,,,,,,,
,W27X114,,I,US,Steel,AISC v15.0,169.7,693.4,256.5,14.5,23.6,,,,,,,,2.36,13.9,170000,6620,28,5.53,4900,516,5620,808,,,,305,217,,,,,,,,,,,,,,,,
,W27X102,,I,US,Steel,AISC v15.0,151.8,688.3,254,13.1,21.1,,,,,,,,2.34,15.4,151000,5790,27.9,5.47,4380,456,5000,711,,,,220,194,,,,,,,,,,,,,,,,
,W27X94,,I,US,Steel,AISC v15.0,139.9,683.3,254,12.4,18.9,,,,,,,,2.33,16.7,136000,5160,27.6,5.38,3980,406,4560,636,,,,168,178,,,,,,,,,,,,,,,,
,W27X84,,I,US,Steel,AISC v15.0,125,678.2,254,11.7,16.3,,,,,,,,2.32,18.6,119000,4410,27.3,5.26,3500,347,4000,544,,,,117,159,,,,,,,,,,,,,,,,
,W24X370,,I,US,Steel,AISC v15.0,550.6,711.2,348,38.6,69.1,,,,,,,,2.72,4.93,558000,48300,28.2,8.29,15700,2780,18500,4380,,,,8370,703,,,,,,,,,,,,,,,,
,W24X335,,I,US,Steel,AISC v15.0,498.5,698.5,342.9,35.1,63,,,,,,,,2.68,5.37,495000,42900,27.9,8.22,14200,2500,16700,3900,,,,6330,634,,,,,,,,,,,,,,,,
,W24X306,,I,US,Steel,AISC v15.0,455.4,688.3,340.4,32,57.9,,,,,,,,2.65,5.82,445000,38300,27.7,8.13,12900,2250,15100,3510,,,,4870,579,,,,,,,,,,,,,,,,
,W24X279,,I,US,Steel,AISC v15.0,415.2,678.2,337.8,29.5,53.1,,,,,,,,2.63,6.33,400000,34300,27.5,8.05,11800,2030,13700,3160,,,,3770,528,,,,,,,,,,,,,,,,
,W24X250,,I,US,Steel,AISC v15.0,372,668,335.3,26.4,48,,,,,,,,2.6,6.99,353000,30100,27.3,7.97,10600,1800,12200,2800,,,,2770,474,,,,,,,,,,,,,,,,
,W24X229,,I,US,Steel,AISC v15.0,340.8,660.4,332.7,24.4,43.9,,,,,,,,2.58,7.57,318000,27100,27.1,7.91,9640,1630,11100,2520,,,,2140,434,,,,,,,,,,,,,,,,
,W24X207,,I,US,Steel,AISC v15.0,308,652.8,330.2,22.1,39.9,,,,,,,,2.56,8.31,284000,24100,26.9,7.84,8700,1460,9930,2250,,,,1590,392,,,,,,,,,,,,,,,,
,W24X192,,I,US,Steel,AISC v15.0,285.7,647.7,330.2,20.6,37.1,,,,,,,,2.55,8.94,261000,22100,26.7,7.78,8050,1340,9160,2060,,,,1280,365,,,,,,,,,,,,,,,,
,W24X176,,I,US,Steel,AISC v15.0,261.9,640.1,327.7,19,34,,,,,,,,2.53,9.66,236000,19900,26.6,7.73,7390,1220,8370,1880,,,,995,334,,,,,,,,,,,,,,,,
,W24X162,,I,US,Steel,AISC v15.0,241.1,635,330.2,17.9,31,,,,,,,,2.53,10.5,215000,18400,26.4,7.73,6780,1120,7670,1720,,,,770,308,,,,,,,,,,,,,,,,
,W24X146,,I,US,Steel,AISC v15.0,217.3,627.4,327.7,16.5,27.7,,,,,,,,2.51,11.6,191000,16300,26.2,7.66,6080,993,6850,1530,,,,558,277,,,,,,,,,,,,,,,,
,W24X131,,I,US,Steel,AISC v15.0,194.9,622.3,327.7,15.4,24.4,,,,,,,,2.5,12.8,167000,14200,25.9,7.54,5380,864,6060,1340,,,,395,249,,,,,,,,,,,,,,,,
,W24X117,,I,US,Steel,AISC v15.0,174.1,617.2,325.1,14,21.6,,,,,,,,2.49,14.3,147000,12400,25.8,7.46,4770,760,5360,1170,,,,280,222,,,,,,,,,,,,,,,,
,W24X104,,I,US,Steel,AISC v15.0,154.8,612.1,325.1,12.7,19,,,,,,,,2.48,16,129000,10800,25.5,7.38,4220,663,4740,1020,,,,196,198,,,,,,,,,,,,,,,,
,W24X103,,I,US,Steel,AISC v15.0,153.3,622.3,228.6,14,24.9,,,,,,,,2.11,13.8,125000,4950,25.3,5.03,4010,433,4590,680,,,,294,195,,,,,,,,,,,,,,,,
,W24X94,,I,US,Steel,AISC v15.0,139.9,617.2,230.4,13.1,22.2,,,,,,,,2.11,15.1,112000,4540,25.1,5.04,3640,394,4160,615,,,,219,179,,,,,,,,,,,,,,,,
,W24X84,,I,US,Steel,AISC v15.0,125,612.1,229.1,11.9,19.6,,,,,,,,2.09,16.8,98600,3930,24.9,4.97,3220,343,3670,534,,,,154,159,,,,,,,,,,,,,,,,
,W24X76,,I,US,Steel,AISC v15.0,113.1,607.1,228.3,11.2,17.3,,,,,,,,2.08,18.4,87400,3430,24.6,4.87,2880,301,3280,469,,,,112,145,,,,,,,,,,,,,,,,
,W24X68,,I,US,Steel,AISC v15.0,101.2,602,227.8,10.5,14.9,,,,,,,,2.07,20.5,76200,2930,24.2,4.75,2530,257,2900,401,,,,77.8,130,,,,,,,,,,,,,,,,
,W24X62,,I,US,Steel,AISC v15.0,92.3,602,178.8,10.9,15,,,,,,,,1.88,20.3,64500,1440,23.4,3.5,2140,161,2510,257,,,,71.2,117,,,,,,,,,,,,,,,,
,W24X55,,I,US,Steel,AISC v15.0,81.8,599.4,178.1,10,12.8,,,,,,,,1.87,22.8,56200,1210,23.2,3.4,1870,136,2200,218,,,,49.1,105,,,,,,,,,,,,,,,,
,W21X275,,I,US,Steel,AISC v15.0,409.2,612.1,327.7,31,55.6,,,,,,,,2.42,5.92,320000,32800,24.6,7.88,10500,2000,12300,3130,,,,4450,528,,,,,,,,,,,,,,,,
,W21X248,,I,US,Steel,AISC v15.0,369.1,602,325.1,27.9,50.5,,,,,,,,2.4,6.5,284000,29100,24.4,7.82,9450,1790,11000,2790,,,,3360,476,,,,,,,,,,,,,,,,
,W21X223,,I,US,Steel,AISC v15.0,331.9,594.4,322.6,25.4,45.5,,,,,,,,2.38,7.16,253000,25600,24.3,7.72,8520,1580,9850,2460,,,,2480,429,,,,,,,,,,,,,,,,
,W21X201,,I,US,Steel,AISC v15.0,299.1,584.2,320,23.1,41.4,,,,,,,,2.38,7.96,221000,22600,24,7.68,7570,1410,8690,2180,,,,1700,383,,,,,,,,,,,,,,,,
,W21X182,,I,US,Steel,AISC v15.0,270.8,576.6,317.5,21.1,37.6,,,,,,,,2.36,8.71,197000,20100,23.9,7.62,6830,1270,7800,1950,,,,1280,346,,,,,,,,,,,,,,,,
,W21X166,,I,US,Steel,AISC v15.0,247,571.5,315,19,34.5,,,,,,,,2.34,9.48,178000,18100,23.8,7.58,6230,1150,7080,1770,,,,982,315,,,,,,,,,,,,,,,,
,W21X147,,I,US,Steel,AISC v15.0,218.8,561.3,317.5,18.3,29.2,,,,,,,,2.33,10.7,151000,15700,23.3,7.49,5380,986,6110,1520,,,,641,279,,,,,,,,,,,,,,,,
,W21X132,,I,US,Steel,AISC v15.0,196.4,553.7,315,16.5,26.4,,,,,,,,2.31,11.8,134000,13900,23.1,7.44,4840,880,5460,1350,,,,470,250,,,,,,,,,,,,,,,,
,W21X122,,I,US,Steel,AISC v15.0,181.6,551.2,315,15.2,24.4,,,,,,,,2.31,12.7,123000,12700,23.1,7.4,4470,806,5030,1240,,,,374,232,,,,,,,,,,,,,,,,
,W21X111,,I,US,Steel,AISC v15.0,165.2,546.1,312.4,14,22.2,,,,,,,,2.29,13.9,111000,11400,23,7.36,4070,730,4570,1120,,,,284,210,,,,,,,,,,,,,,,,
,W21X101,,I,US,Steel,AISC v15.0,150.3,543.6,312.4,12.7,20.3,,,,,,,,2.29,15.2,101000,10300,22.9,7.33,3710,661,4150,1010,,,,217,192,,,,,,,,,,,,,,,,
,W21X93,,I,US,Steel,AISC v15.0,138.4,548.6,213.9,14.7,23.6,,,,,,,,1.9,13.7,86200,3870,22.1,4.69,3140,362,3620,569,,,,251,176,,,,,,,,,,,,,,,,
,W21X83,,I,US,Steel,AISC v15.0,123.5,543.6,212.3,13.1,21.2,,,,,,,,1.89,15.3,76200,3390,22,4.64,2800,319,3210,500,,,,181,157,,,,,,,,,,,,,,,,
,W21X73,,I,US,Steel,AISC v15.0,108.6,538.5,210.8,11.6,18.8,,,,,,,,1.88,17.3,66600,2940,21.9,4.6,2470,279,2820,436,,,,126,139,,,,,,,,,,,,,,,,
,W21X68,,I,US,Steel,AISC v15.0,101.2,535.9,210.1,10.9,17.4,,,,,,,,1.87,18.5,61600,2690,21.8,4.57,2300,256,2620,400,,,,102,129,,,,,,,,,,,,,,,,
,W21X62,,I,US,Steel,AISC v15.0,92.3,533.4,209.3,10.2,15.6,,,,,,,,1.86,20.2,55400,2390,21.7,4.5,2080,229,2360,356,,,,76.2,118,,,,,,,,,,,,,,,,
,W21X57,,I,US,Steel,AISC v15.0,84.8,535.9,166.6,10.3,16.5,,,,,,,,1.7,20,48700,1270,21.3,3.44,1820,153,2110,243,,,,73.7,108,,,,,,,,,,,,,,,,
,W21X55,,I,US,Steel,AISC v15.0,81.8,528.3,208.8,9.5,13.3,,,,,,,,1.85,22.6,47500,2010,21.3,4.39,1800,193,2060,302,,,,51.6,105,,,,,,,,,,,,,,,,
,W21X50,,I,US,Steel,AISC v15.0,74.4,528.3,165.9,9.7,13.6,,,,,,,,1.68,22.6,41000,1040,20.8,3.31,1550,125,1800,200,,,,47.5,94.8,,,,,,,,,,,,,,,,
,W21X48,,I,US,Steel,AISC v15.0,71.4,523.2,206.8,8.9,10.9,,,,,,,,1.83,25.7,39900,1610,20.9,4.21,1530,156,1750,244,,,,33.4,91,,,,,,,,,,,,,,,,
,W21X44,,I,US,Steel,AISC v15.0,65.5,525.8,165.1,8.9,11.4,,,,,,,,1.67,25.5,35100,862,20.5,3.21,1330,104,1560,167,,,,32,83.9,,,,,,,,,,,,,,,,
,W18X311,,I,US,Steel,AISC v15.0,462.8,566.4,304.8,38.6,69.6,,,,,,,,2.25,4.87,290000,33100,22.2,7.48,10200,2170,12400,3390,,,,7330,591,,,,,,,,,,,,,,,,
,W18X283,,I,US,Steel,AISC v15.0,421.2,556.3,302.3,35.6,63.5,,,,,,,,2.23,5.29,257000,29300,21.9,7.38,9230,1940,11100,3030,,,,5580,537,,,,,,,,,,,,,,,,
,W18X258,,I,US,Steel,AISC v15.0,383.9,546.1,299.7,32.5,58.4,,,,,,,,2.21,5.75,229000,26100,21.6,7.3,8400,1740,10000,2720,,,,4290,490,,,,,,,,,,,,,,,,
,W18X234,,I,US,Steel,AISC v15.0,348.2,535.9,297.2,29.5,53.6,,,,,,,,2.18,6.27,204000,23200,21.5,7.24,7610,1560,9000,2440,,,,3280,443,,,,,,,,,,,,,,,,
,W18X211,,I,US,Steel,AISC v15.0,314,525.8,294.6,26.9,48.5,,,,,,,,2.16,6.88,180000,20500,21.2,7.15,6860,1390,8030,2160,,,,2440,402,,,,,,,,,,,,,,,,
,W18X192,,I,US,Steel,AISC v15.0,285.7,518.2,292.1,24.4,44.4,,,,,,,,2.14,7.48,161000,18300,21.1,7.11,6220,1250,7240,1950,,,,1860,363,,,,,,,,,,,,,,,,
,W18X175,,I,US,Steel,AISC v15.0,260.4,508,289.6,22.6,40.4,,,,,,,,2.11,8.11,144000,16300,20.8,7.01,5650,1120,6520,1740,,,,1410,332,,,,,,,,,,,,,,,,
,W18X158,,I,US,Steel,AISC v15.0,235.1,500.4,287,20.6,36.6,,,,,,,,2.09,8.89,127000,14400,20.6,6.95,5090,1010,5830,1550,,,,1050,299,,,,,,,,,,,,,,,,
,W18X143,,I,US,Steel,AISC v15.0,212.8,495.3,284.5,18.5,33.5,,,,,,,,2.07,9.75,114000,12900,20.6,6.91,4620,910,5280,1400,,,,799,271,,,,,,,,,,,,,,,,
,W18X130,,I,US,Steel,AISC v15.0,193.5,490.2,284.5,17,30.5,,,,,,,,2.07,10.7,102000,11600,20.4,6.84,4180,814,4750,1260,,,,604,247,,,,,,,,,,,,,,,,
,W18X119,,I,US,Steel,AISC v15.0,177.1,482.6,287,16.6,26.9,,,,,,,,2.06,11.6,91200,10500,20.1,6.82,3780,734,4290,1130,,,,441,226,,,,,,,,,,,,,,,,
,W18X106,,I,US,Steel,AISC v15.0,157.7,475,284.5,15,23.9,,,,,,,,2.04,12.9,79500,9160,19.9,6.76,3350,644,3770,991,,,,311,201,,,,,,,,,,,,,,,,
,W18X97,,I,US,Steel,AISC v15.0,144.4,472.4,281.9,13.6,22.1,,,,,,,,2.03,14,72800,8370,19.9,6.75,3080,593,3460,906,,,,244,184,,,,,,,,,,,,,,,,
,W18X86,,I,US,Steel,AISC v15.0,128,467.4,281.9,12.2,19.6,,,,,,,,2.02,15.8,63700,7280,19.8,6.68,2730,517,3050,793,,,,171,163,,,,,,,,,,,,,,,,
,W18X76,,I,US,Steel,AISC v15.0,113.1,462.3,279.4,10.8,17.3,,,,,,,,2,17.7,55400,6330,19.6,6.63,2400,453,2670,692,,,,118,144,,,,,,,,,,,,,,,,
,W18X71,,I,US,Steel,AISC v15.0,105.7,469.9,194.1,12.6,20.6,,,,,,,,1.67,15.8,48700,2510,19,4.31,2070,259,2390,405,,,,145,135,,,,,,,,,,,,,,,,
,W18X65,,I,US,Steel,AISC v15.0,96.7,467.4,192.8,11.4,19,,,,,,,,1.67,17.2,44500,2280,19,4.3,1910,237,2180,369,,,,114,123,,,,,,,,,,,,,,,,
